code11,abbr,state,pop_1901,pop_1951,pop_2011,pop_2023,pop_2024
35,AN,Andaman and Nicobar Islands,24649,30971,380581,403000,404000
37,AP,Andhra Pradesh,13071874,20216637,49386799,53217000,53402000
12,AR,Arunachal Pradesh,,,1383727,1565000,1580000
18,AS,Assam,3289680,8028856,31205576,35824000,36159000
10,BR,Bihar,27311865,29085017,104099452,127368000,129205000
22,CG,Chhattisgarh,4181554,7456706,25545198,30294000,30638000
4,CH,Chandigarh,21967,24261,1055450,1235000,1247000
39,DN/DD,Dadra & Nagar Haveli and Daman & Diu,56285,90143,586956,1293000,1387000
30,GA,Goa,475513,547448,1458545,1577000,1585000
24,GJ,Gujarat,9094748,16262657,60439692,71794000,72653000
2,HP,Himachal Pradesh,1920294,2385981,6864602,7480000,7518000
6,HR,Haryana,4623064,5673597,25351462,30331000,30694000
1,J&K,Jammu & Kashmir,2078895,3171512,12267013,13636000,13733000
20,JH,Jharkhand,6068233,9697254,32988134,39632000,40129000
29,KA,Karnataka,13054754,19401956,61095297,67833000,68256000
32,KL,Kerala,6396262,13549118,33406061,35824000,35967000
38,LA,Ladakh,60467,82340,274289,301000,302000
31,LD,Lakshadweep,13882,21035,64473,69000,69000
27,MH,Maharashtra,19391643,32002564,112374333,126710000,127684000
17,ML,Meghalaya,340524,605674,2966889,3356000,3387000
14,MN,Manipur,284465,577635,2855794,3231000,3260000
23,MP,Madhya Pradesh,16860768,18614931,72626809,86923000,87954000
15,MZ,Mizoram,82434,196202,1097206,1241000,1252000
7,NCT,Delhi,405819,1744072,16787941,21490000,21884000
13,NL,Nagaland,101550,212975,1978502,2238000,2258000
21,OD,Odisha,10302917,14645946,41974218,46373000,46663000
3,PB,Punjab,7544790,9160500,27743338,30796000,30992000
34,PY,Puducherry,246354,317253,1247953,1658000,1695000
8,RJ,Rajasthan,10294090,15970774,68548437,81316000,82188000
11,SK,Sikkim,59014,137725,610577,691000,697000
36,TG,Telangana,5972448,10898622,35193978,38135000,38317000
33,TN,Tamil Nadu,19252630,30119047,72147030,76936000,77165000
16,TR,Tripura,173325,639029,3673917,4156000,4194000
5,UK,Uttarakhand,1979866,2945929,10086292,11676000,11795000
9,UP,Uttar Pradesh,48627670,60273743,199812341,236484000,238875000
19,WB,West Bengal,16940088,26299980,91276115,99243000,99723000
